,ID,Category,ID Category,Asset ID,Asset Name,Purchase Date,Cost (Finance),Cost (GA & Supply Chain),PIC,Department,Site,ID Site,Brand,Model,Serial Number,Notes,Status,Price
,28-Apr-25,"Rp8,500,000","Rp8,500,000",Joko Prihono,QA/QC,Deltamas 1,2,,,,,Active,,,,,,
3,FA003,Elektronik,I,FA003/I/01,HARDISK SEAGATE SRD0NF1,11-May-15,"Rp580,000",,Adi Kusumah,Engineering,BSD,1,,,,,Active,
5,FA005,Furniture,II,FA005/II/01,RAK,05-Sep-15,"Rp1,787,190",,,,BSD,1,,,,,Broken,
6,FA006,Furniture,II,FA006/II/01,MEJA PRINTER KOTAK,07-Sep-15,"Rp3,034,500",,Herfian,Engineering,BSD,1,,,,,Active,
7,FA007,Furniture,II,FA007/II/01,LEMARI,01-Oct-15,"Rp570,000",,,,BSD,1,,,,,Broken,
8,FA008,Furniture,II,FA008/II/01,KIPAS,02-Oct-15,"Rp220,000",,,,BSD,1,,,,,Broken,
11,FA011,Laptop and Komp,III,FA011/III/01,LAPTOP HP I3,01-Nov-16,"Rp6,540,000",,,Engineering,BSD,1,HP,,,,Active,
12,FA012,Elektronik,I,FA012/I/01,MESIN ABSEN,01-Jun-16,"Rp1,500,000",,,,BSD,1,,,,,Broken,
15,FA015,Furniture,II,FA015/II/01,HECTOR OFFICE TABLE WALNUT BLACK,01-Apr-16,"Rp750,000",,Corneleo,Sales & Marketing,BSD,1,,,,,Active,
16,FA016,Laptop and Komp,III,FA016/III/01,LAPTOP ASUS ROG GL553V,01-Jan-17,"Rp21,000,000",,Adi Kusumah,Engineering,BSD,1,Asus,,,,Active,
18,FA018,Laptop and Komp,III,FA018/III/01,LAPTOP ROG GL552VX,01-Sep-17,"Rp13,050,000",,,Engineering,BSD,1,Asus,,,,Active,
19,FA019,Machine and Tooling,V,FA019/V/02,PRINTER 3D,01-Sep-17,"Rp3,275,000",,,,Deltamas 1,2,,,,,,
21,FA021,Furniture,II,FA021/II/01,HECTOR OFFICE TABLE WALNUT BLACK,01-Feb-18,"Rp1,400,000",,,HRGA & Legal,BSD,1,,,,,Active,
22,FA022,Laptop and Komp,III,FA022/III/01,LAPTOP,01-Feb-18,"Rp14,548,800",,Hari TM,Engineering,BSD,1,,,,,Active,
23,FA023,Elektronik,I,FA023/I/01,Laptop Dell G5590,01-Mar-18,"Rp31,200,000",,Agus RH,Engineering,BSD,1,Asus,,,,Active,
26,FA026,Laptop and Komp,III,FA026/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Bilkis Ismail,PITD,BSD,1,,,,,Active,
26,FA026.1,Laptop and Komp,III,FA026.1/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Rifky Fauzi,Engineering,BSD,1,,,,,Active,
26,FA026.2,Laptop and Komp,III,FA026.2/III/01,3 MONITOR + KEYBOARD 2 + MOUSE 2 + ACC + KABEL VGA + KABEL USG EXT STD,01-May-18,"Rp4,920,000",,Dimas,HRGA & Legal,BSD,1,,,,,Active,
27,FA027,Elektronik,I,FA027/I/01,Camera Sony A6400,05-Jun-18,"Rp9,500,032",,Yogie,Business & Digital Development,BSD,1,Sony,,,,Active,
28,FA028,Laptop and Komp,III,FA028/III/01,Lenovo IP1205,06-Jul-18,"Rp3,900,000",,Rispandi,HRGA & Legal,BSD,1,Lenovo,,,Tidak terpakai ada di lemari HRGA,Active,
29,FA029,Machine and Tooling,V,FA029/V/02,3D PRINTER,02-Aug-18,"Rp2,953,007",,,,Deltamas 1,2,,,,,,
31,FA031,Machine and Tooling,V,FA031/V/01,3D PRINTER ANYCUBIC PHOTON,05-Oct-18,"Rp8,190,000",,Agus RH,Engineering,BSD,1,Anycubic,,,,Active,
34,FA034,Laptop and Komp,III,FA034/III/02,LAPTOP ASUS A407 MA N4000 4GB 128 SSD 14',08-Apr-19,"Rp4,116,265",,Rino,Supply Chain,Deltamas 1,2,Asus,,,,Active,
35,FA035,Elektronik,I,FA035/I/02,AC GREE GWC 05C3E INDOOR + OUTDOOR (1/2 PK),02-Aug-19,"Rp2,799,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
36,FA036.1,Elektronik,I,FA036.1/I/02,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
37,FA036.2,Elektronik,I,FA036.2/I/02,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 1,2,Gree,,,,Active,
38,FA036.3,Elektronik,I,FA036.3/I/03,AC GREE GWC 09C3E INDOOR + OUTDOOR (1 PK),02-Aug-19,"Rp3,049,000",,Rino,HRGA & Legal,Deltamas 2,3,Gree,,,,Active,
40,FA038.1,Furniture,II,FA038.1/II/02,KNOXHULT BASE CB W DRS/DRW 120 WHI,13-Aug-19,"Rp2,550,000",,,,Deltamas 1,2,,,,,Broken,
41,FA038.2,Furniture,II,FA038.2/II/03,KNOXHULT BASE CB W DOORS 80X85 WHITE AP,13-Aug-19,"Rp1,500,000",,Rino,HRGA & Legal,Deltamas 2,3,Knoxhult,,,,Active,
42,FA039.1,Furniture,II,FA039.1/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Herfian,Engineering,BSD,1,Informa,,,,Active,
43,FA039.2,Furniture,II,FA039.2/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Bilkis Ismail,PITD,BSD,1,Informa,,,,Active,
44,FA039.3,Furniture,II,FA039.3/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,,Finance & Accounting,BSD,1,Informa,,,,Active,
45,FA039.4,Furniture,II,FA039.4/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Audrey,Finance & Accounting,BSD,1,Informa,,,,Active,
46,FA039.5,Furniture,II,FA039.5/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Daniella,HRGA & Legal,BSD,1,Informa,,,,Active,
47,FA039.6,Furniture,II,FA039.6/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,,PITD,BSD,1,Informa,,,,Active,
48,FA039.7,Furniture,II,FA039.7/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Hari TM,Engineering,BSD,1,Informa,,,,,
49,FA039.8,Furniture,II,FA039.8/II/01,LOMO WORKING CHAIR LOW BACK BL 15,15-Aug-19,"Rp799,500",,Arina,HRGA & Legal,BSD,1,Informa,,,,Active,
50,FA039.9,Furniture,II,FA039.9/II/01,NEWVY 4 TIER BLACK,15-Aug-19,"Rp759,000",,Chendy,BOD,BSD,1,Informa,,,,Active,
51,FA040.1,Furniture,II,FA040.1/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,HRGA & Legal,BSD,1,Informa,,,,Active,
52,FA040.2,Furniture,II,FA040.2/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,Chendy,BOD,BSD,1,Informa,,,,Active,
53,FA040.3,Furniture,II,FA040.3/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,Rubi,PITD,BSD,1,Informa,,,,Active,
54,FA040.4,Furniture,II,FA040.4/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,Business & Digital Development,BSD,1,Informa,,,,Active,
55,FA040.5,Furniture,II,FA040.5/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
56,FA040.6,Furniture,II,FA040.6/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
57,FA040.7,Furniture,II,FA040.7/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
58,FA040.8,Furniture,II,FA040.8/II/01,ZEDD STAFF CHAIR LOW BACK GREY,15-Aug-19,"Rp899,500",,,,BSD,1,Informa,,,,Broken,
